"20180626-085552-003342","大厅，喂你好我想问一下就是如果我要是在上课没发票的话都需要怎么做，发票记账联，谢谢，"
"20180614-095847-003090","税局，我想问下你有那个电话吗，润滑油，是销售企业的，成品油，我现在可能是我那个我那个卡包着行业是其他化工产品批发，看出来生病知不知道，2785612927，"
"20180612-144038-005405","唉你好看就不说知道电话吗，出口退税，请您稍等，658567，"
"20180607-155145-002834","美女那个我的宝贝啊政府给的补贴真不需要那个的那个重得这么办法征收需要在你们那备案啊他们说还有个一百多块钱儿但是这个钱一直没下来，等到下那一百块钱还需要去备案吗，就是这一台就是那个测量的那个喊那个备案那个备案那个就是同一台车就被一次就行了呗，还有被两次么亮的姑娘被按的那个，同一台车呗一次就行了吧他们了解表情的话你就直接填表的时候都不备案那个表上，我觉得我对着一次以后以后这个表情，"
"20180612-161121-007157","你好吗我说你好我想问一下就我现在那个专用发票啊，我那个白色就是一只能开张只能开一万块钱我想生成量十万的话，代理，然后带着公章过来就可以了伤口受理申请是在哪个里面里面好像好几个那种，就可以，，"
"20180612-155542-000679","问下我们家那个企业啊就是今年成立的然后呢一不小心就把去年那个，年度申报表，给爆了然后就可财务报表有空了给报了然后那个他说不让我控报表那我怎么办呢不让不让我那什么就行了零18年6月吗？报表申报，是四月份有个绿色的2018年呢看见了我知道了谢谢，"
"20180604-084228-002620","很好我睡觉，你好想问一下那个节目的初始密码是多少，嗯嗯，嗯嗯小写的ssdc，2018就是税收调查的首字母然后2018，"
"20180607-130528-000616","还想我在开票的时候就是放在网上那个代开发票那个开票的时候那个上面提示就我提交之后它提示说为了便于您开发票和脚长大，国地税，相关税费，宁可在录发票票吗信息后根据个人所得税征收期也不涉及到个人所得税他什么写这个的是公司对公司的，还不用五条了一条话应该有四条呢他就不射就不射就是出现这就是这一调努力值，我没有啊我现在我显示出来就是自己在家，附加税，这样一般纳税人，不应该啊你确定税款信息他那就是四屏幕也选了，你看下你浏览器是什么浏览器版本浏览器浏览器的呗，想我等等过来我就有电脑可以上网不电脑，"
"20180529-111609-004325","好的稍微大点是怎么回事，婴儿，电话是6585675156751，"
"20180629-155210-000804","问一下发票出来的五十，"
"103710","不睡的话我今年三月底啊和那个和的那个解锁的说跟我们合并了，但是我报那个报表的时候发现他还没变成那个b类报表，就是能不能帮我看一下我们到底是合订还是，核定，我现在能查到那个税率是多少吗因为我想知道一下管理员和大厅坐的呢打电话一直没人接呀或者你告诉我下陵水那边那个就是一个窗口电话我让他们给我查一下，窗口，是谁，嗯我打她电话一直没人接啊这个81894385，还有别的电话吗这一个号啊1894385号线，"
"20180622-134139-008048","最好问一下就是昨天那个我是那个网上申报验旧和申领发票的那个单位有什么改的地方吗怎么现在，发票验旧，还是在网上提申请在窗口领发票，网上验旧，发条信息申请上去那电脑问题吧目前我没有听说过这个县，系统异常，来我们国税局一楼的电脑提一下也行啊，发票，"
"20180615-141154-007544","报表的报表，用不着，要么就，刚才，我同事去了他说不让不让那个不让打印单拍张照片也不行吗？他那边电话你告诉我一下呗，我不知道我知道，刚才打一个庄园电话他说他不招人了，废话，91210241120，睡觉那个富有，服务的服务的，增值税，最后一个季度的，就是，第一季度，一六年就一个季度，又开始，咨询服务，727401.273203点八吧，收入，咨询服务是2182292，我这不是前面那个，货物，然后再往后是哪季的美剧就是对这服务的，谢谢了，的发票，开的很少，"
"20180614-145009-007409","很好吃中午说我想问一下她开的是美金发票就在备注上打的每天让他妇人臂上可以吗，核算，信息都是人民币而已，什么车票时接受美金付款，那他的呢可以吗或者签合同或者没有问题，"
"20180620-100643-007738","那个华泰保险吗，下来了拿到工厂二楼大厅才去结论，国税发，好的好，"
"20180619-154441-007689","美女好你好你好，"
"153732","哎你好啊我想麻烦问一下就是如果我姐想办理下就是那个最瘦那个白名单需要什么资料，谢谢你，"
"20180614-164116-000729","嗯我在的水水的国际窗口然后买我的那个，税盘，他重新给我做了一下因为我三证合一了，然后做完了以后登录会有一个请输入口令口令是多少呀，税控盘，软件然后就弹出了一个广告，不对，哈哈，拜拜，"
"20180529-152011-004364","为好刚才去不到数学的发票打印出来了应该怎么办呢，发票作废，然后再过去身份证然后就带什么东西，"
"094343","不想一下我企业买车然后到你那个国税去办车辆购置完税证明，我在你那个窗口的还是拿税单去我的那个银行交东西呢，扣除率，是我在你那边的窗口直接交费还是我拿着您给我打的税单到银行去交，可以直接发银行卡一年所得税退库需要带什么材料，电子缴款凭证也就是飞单的复印件盖上公章然后拿出公章，退税申请表，嗯好的谢谢，"
"20180601-131116-004609","为你好是吧，说说今天说今天上午我去就说我买的那去爬我去发行了对吧，完了就是说我也就是说申请那个发票了，他告诉我是过两个工作日，然后去问我现在能领那个发票吗，万元版，过两日赶完是说18000然后过两天改完之后她不说就一万吗？诶好了谢谢，"
"20180612-151833-003009","明天能不能买发票，我是没人做，普票，要买什么东西眼睛就完了之后再改一下然后就可以买了现在不行买不了因为我们那个老师票子用完了，要不你上，自助机，还有如果不用买，发票章，不可能就麻烦你们在线就问下就可以了，"
"20180607-144619-005051","你好，"
"20180528-154204-004265","为你好，张姐在吗？"
"20180622-110306-001106","你好吧学刚电话话费账单已出款余额不足本月27日前使用一卡充充值或到营业厅交费一刻通过网上营业厅消费影响您电话的正常使用消费向电话学话，收取，"
"20180605-100616-002692","税局，你好问一下那个虚数调查全国基础就差一个，统一社会信用代码，"
"20180622-144254-001113","你好吧收到，厅，你好我想问一下小南这呢，谢谢，"
